catalog,group,name
1537,432,2 пула
1539,432,2 пула
1540,432,50 центов
1541,432,10 тебе
1542,432,2 тебе
1546,528,1/2 цента
1547,528,2 1/2 цента
1548,528,5 центов
1617,712,1 талер
1618,712,2 1/2 шварена
1619,712,36 гротен
1620,712,6 гротен
1624,557,1 сен
1625,557,1 сен
1626,557,1 сен
1627,557,5 сен
1628,557,5 сен
1629,557,5 сен
1630,557,10 сен
1631,557,10 сен
1632,557,10 сен
1634,557,20 сен
1635,557,20 сен
1636,557,50 сен
1637,557,50 сен
1638,557,50 сен
1639,557,10 долларов
1644,559,1 франк
1645,559,1 франк
1648,559,5 франков
1650,559,10 франков
1654,787,1 грош
1657,787,1/6 талера
1658,368,1 вату
1659,368,2 вату
1660,368,5 вату
1661,368,10 вату
1662,368,10 вату
1663,368,20 вату
1669,368,50 вату
1674,368,100 вату
1679,443,1 боливар
1680,443,1/2 боливара
1681,443,2 боливара
1683,443,100 боливар
1684,443,12 1/2 сентима
1685,443,25 боливар
1687,443,25 сентим
1690,443,5 сентим
1691,443,5 сентим
1692,780,1 чентезимо
1693,780,1 чентезимо
1695,780,1 чентезимо
1699,780,5 чентезимо
1700,607,10 центов
1703,868,1 марка
1704,868,10000 марок
1705,868,20 сантим
1708,868,5000000 марок
1711,509,1 цент
1712,509,5 центов
1713,509,10 центов
1714,509,25 центов
1715,509,50 центов
1717,509,1 доллар
1725,509,20 долларов
1735,509,20 долларов
1736,509,20 долларов
1737,509,20 долларов
1742,509,20 долларов
1743,509,20 долларов
1748,509,20 долларов
1749,509,20 долларов
1750,720,1 шиллинг
1752,795,2 марки
1753,795,2 марки
1754,795,3 крейцера
1755,795,3 марки
1756,795,6 крейцеров
1757,795,6 крейцеров
1758,449,1 цент
1759,449,5 центов
1761,449,1 доллар
1762,449,1 доллар
1764,449,1/4 евро
1766,449,10 центов
1767,449,25 центов
1769,449,5 долларов
1770,427,1 бутут
1771,427,1 бутут
1772,427,5 бутут
1773,427,5 бутут
1774,427,10 бутут
1775,427,10 бутут
1776,427,10 бутут
1777,427,1 даласи
1778,427,1 даласи
1780,427,10 даласи
1781,427,10 даласи
1786,427,25 бутут
1787,427,25 бутут
1788,427,50 бутут
1790,427,8 шиллингов
1791,427,40 даласи
1793,751,1 франк
1801,437,1 сентаво
1802,437,1 сентаво
1803,437,1 кетцаль
1804,437,1 кетцаль
1805,437,1 песо
1806,437,1/2 сентаво
1807,437,10 сентаво
1808,437,5 сентаво
1809,437,50 сентаво
1810,437,50 сентаво
1811,437,2 реала
1813,437,25 сентаво
1814,437,25 сентаво
1816,865,1/3 талера
1817,865,1/6 талера
1819,865,5 марок
1825,771,1 дьюит
1827,771,2 стивера
1830,882,1 пфенниг
1831,704,25 эре
1832,704,25 эре
1833,704,50 эре
1834,626,1 тетри
1835,626,10 лари
1836,626,10 лари
1837,626,10 тетри
1838,626,5 тетри
1842,825,1 анна
1845,452,1 франк
1846,452,5 франков
1847,452,10 франков
1848,452,20 франков
1849,452,50 франков
1850,452,100 франков
1851,452,100 франков
1852,452,100 франков
1853,452,100 франков
1854,452,100 франков
1855,452,100 франков
1857,453,1 песо
1858,453,1 песо
1859,453,1 сентаво
1860,453,5 сентаво
1861,453,5 сентаво
1863,453,5 песо
1864,453,25 сентаво
1865,453,25 сентаво
1868,576,1 заир
1869,576,10 заир
1870,576,5 заир
1872,576,500 заир
1875,576,10 макута
